Location, Price Per Month, Number of Bedrooms, Number of Bathrooms

"Dean Court, Christchurch, Dublin 8, 2650, 2, 1"
"18 The Poplars, Monkstown Valley, Monkstown, Co. Dublin, 2500, 2, 1"
"Knightsbridge, Clontarf, Dublin 3, 2545, 3, 3"
"North Great George's Street, Dublin 1, 2160, 1, 1"
"Fitzwilliam Point, Fitzwilliam Quay, Dublin 4, Irishtown, Dublin 4, 3480, 2, 2"
"Boroimhe, Swords, Co. Dublin, 1400, -1, -1"
"Pheonix Park End, North Circular Road, Dublin 7, 1350, -1, -1"
"Smithfield Market, Smithfield, Dublin 7, 2750, 2, 1"
"Apartment 310, The Old Chocolate Factory, Kilmainham, Dublin 8, 2700, 2, 2"
"Kingsmill Court, Dublin 1., Dublin 1, 1654, 1, 1"
"Apartment 51, Gregg Court, Parnell St. Dublin 1, D, Dublin 1, 1730, 1, 1"
"The Kilns, Station Road, Portmarnock, Co. Dublin, 2350, 3, 3"
"Fox And Gese, Dublin 22, Dublin 22, 2800, 3, 2"
"Temple Crescent, Blackrock, Co. Dublin, 800, 2, 1"
"King's Court, Parnell Street, Dublin 1, Dublin City Centre, Co. Dublin, 1900, 1, 1"
"Sutton,co. Dublin, Sutton, Dublin 13, 1900, 1, 1"
"14 Cedar Square, Grove Avenue, Blackrock, Co. Dublin, 2800, 3, 1"
"Seaview Avenue East, East Wall, East Wall, Dublin 3, 2403, 2, 1"
"14 The Elms, Donnybrook, Donnybrook, Dublin 4, 6630, 5, 4"
"Apartment 19, Saint James\'s Court, Dublin 8, 1776, 2, 1"
